Lorie	Movie	5	0.908	0.643
Lorrie Morgan	Country	39	0.606	0.655
Los Auténticos Decadentes	Ska	51	0.764	0.364
Los Fabulosos Cadillacs	Ska	49	0.898	0.623
Los Prisioneros	Rock	63	0.624	0.585
Louis C.K.	Comedy	39	0.954	0.579
Louis Futon	Soul	37	0.693	0.601
Ludwig Goransson	Soundtrack	35	0.403	0.25
Luther Vandross	Soul	40	0.205	0.404
Lynyrd Skynyrd	Blues	38	0.791	0.588
Låpsley	Indie	56	0.403	0.689
Léo Delibes	Opera	11	0.0528	0.277
MARINA	Indie	55	0.812	0.614
MC YOGI	World	27	0.663	0.667
MISIA	Anime	21	0.459	0.486
Mad Caddies	Ska	33	0.765	0.623
MadeinTYO	Rap	60	0.452	0.846
Majik	Soul	43	0.601	0.484
Mandisa	Alternative	49	0.691	0.63
Manu Chao	World	55	0.753	0.644
Margaret Cho	Comedy	15	0.674	0.542
Margot & The Nuclear So And So's	Indie	42	0.578	0.487
Mariah Carey	R&B	57	0.529	0.7
Mariah Carey	R&B	58	0.691	0.701
Mark Diamond	Folk	46	0.67	0.635
Martin Jensen	Pop	66	0.674	0.601
Marty Robbins	Folk	51	0.321	0.463
Marvin Gaye	Soul	56	0.415	0.677
Mary Gauthier	Children’s Music	56	0.256	0.575
Mary Wells	Blues	31	0.498	0.624
Masked Intruder	Ska	41	0.933	0.659
Massive Attack	Electronic	32	0.774	0.576
Matisyahu	Reggae	32	0.432	0.477
Matt Maltese	Folk	42	0.208	0.498
Matthew West	Children’s Music	46	0.669	0.407
Max Richter	Soundtrack	32	0.126	0.0639
Maïdi Roth	Movie	1	0.899	0.471
Meek Mill	Hip-Hop	53	0.728	0.624
Meek Mill	Hip-Hop	65	0.87	0.37
Menahan Street Band	World	34	0.581	0.503
MercyMe	Children’s Music	62	0.582	0.335
Meredith Andrews	Rock	54	0.501	0.225
Merkules	Hip-Hop	53	0.851	0.466
Metallica	Rock	68	0.687	0.438
Metric	Dance	49	0.802	0.576
Metronomy	Electronic	42	0.605	0.75
Michael Franti & Spearhead	Reggae	33	0.886	0.626
Michael Giacchino	Soundtrack	35	0.222	0.346
Michelle Simonal	Jazz	50	0.422	0.772
Mick Jenkins	Hip-Hop	51	0.399	0.488
Miguel	Dance	74	0.603	0.684
Mike Douglas	Movie	15	0.228	0.672
Mike Posner	Pop	72	0.82	0.768
Miranda Lambert	Country	40	0.731	0.408
Missy Elliott	Pop	72	0.677	0.884
MisterWives	Rock	58	0.826	0.657
Mitchell Tenpenny	Country	61	0.731	0.375
Moby	Electronic	24	0.743	0.39
Moby	Electronic	27	0.633	0.527
Moneybagg Yo	Hip-Hop	58	0.583	0.8
Monty Python	Comedy	18	0.73	0.484
Mora	Reggaeton	55	0.452	0.762
Morcheeba	Jazz	44	0.686	0.71
Morphine	Blues	38	0.611	0.507
Morrissey	Dance	53	0.676	0.463
Music For Little People Choir	Children's Music	1	0.328	0.595
Mustard Plug	Ska	17	0.966	0.535
MxPx	Ska	19	0.941	0.417
Myles Cameron	Alternative	42	0.393	0.442
MØ	Pop	73	0.672	0.695
NEEDTOBREATHE	Alternative	50	0.843	0.387
NOFX	Ska	23	0.967	0.405
NOFX	Ska	33	0.967	0.482
NOFX	Ska	40	0.956	0.586
Nahko and Medicine for the People	Reggae	39	0.73	0.741
Nao	Alternative	50	0.617	0.741
