artist	genre	popularity	c4	c5
The Marshall Tucker Band	Folk	57	0.827	0.506
The Modern Lovers	Dance	55	0.729	0.617
The Neighbourhood	Alternative	47	0.85	0.625
The Palms	Soul	54	0.573	0.666
The Paper Kites	Indie	46	0.176	0.498
The Psychedelic Furs	Rock	56	0.916	0.386
The Seige	Children’s Music	49	0.789	0.652
The Shins	Children’s Music	71	0.389	0.669
The Weeknd	Pop	62	0.539	0.641
Theory of a Deadman	Alternative	56	0.828	0.508
Third Day	Alternative	40	0.672	0.298
Thomas Rhett	Rock	52	0.595	0.685
Thousand Foot Krutch	Alternative	59	0.878	0.532
Thousand Foot Krutch	Children’s Music	68	0.633	0.532
Thrice	Alternative	45	0.713	0.518
Tierra Whack	Alternative	48	0.605	0.792
Timeflies	Dance	58	0.652	0.953
TobyMac	Hip-Hop	62	0.649	0.755
Tony Rebel	Reggae	40	0.596	0.721
Tori Kelly	R&B	55	0.833	0.618
Tove Lo	R&B	58	0.706	0.625
Traffic	Rock	62	0.501	0.504
Transviolet	Dance	49	0.656	0.557
Travis Scott	Rap	64	0.464	0.507
Trevor Daniel	Children’s Music	47	0.395	0.697
Trippie Redd	Rap	64	0.868	0.722
Turnover	Children’s Music	47	0.653	0.614
Tycho	Dance	48	0.936	0.541
U-Roy	Reggae	41	0.435	0.825
Underworld	Dance	65	0.953	0.576
Van Halen	Rock	69	0.9	0.472
Vanessa Carlton	Folk	48	0.612	0.596
Vic Damone	Jazz	57	0.288	0.455
Vindata	Soul	52	0.644	0.617
Waka Flocka Flame	Hip-Hop	50	0.812	0.608
Waka Flocka Flame	Pop	66	0.66	0.611
Waka Flocka Flame	Rap	52	0.837	0.723
Warrant	Rock	67	0.946	0.472
Weezer	Rock	54	0.876	0.559
Weldon Irvine	Soul	46	0.557	0.482
Wet	R&B	54	0.455	0.581
Whitney	Indie	50	0.142	0.48
Why Don't We	Dance	64	0.703	0.869
Wild Nothing	Indie	52	0.777	0.477
Wisin	Dance	63	0.933	0.797
Wisin & Yandel	Reggaeton	63	0.86	0.818
Xscape	Soul	48	0.501	0.778
YG	Hip-Hop	65	0.336	0.926
Yellow House	Children’s Music	44	0.611	0.456
Yo Gotti	Rap	55	0.615	0.885
Young Money	Hip-Hop	55	0.732	0.816
Young the Giant	Alternative	55	0.781	0.625
Young the Giant	Alternative	59	0.886	0.623
ZAYN	Dance	78	0.685	0.452
ZAYN	Pop	77	0.568	0.696
Zac Brown Band	Country	55	0.398	0.528
blink-182	Rock	60	0.947	0.465
digitalluc	Jazz	54	0.672	0.607
flor	Indie	49	0.515	0.652
flor	Indie	51	0.681	0.705
k?d	Electronic	43	0.78	0.428
