Tori Kelly                    	     1	   55.00	   55.00	   55.00
Tove Lo                       	     1	   58.00	   58.00	   58.00
Travis Scott                  	     1	   64.00	   64.00	   64.00
Trevor Daniel                 	     1	   47.00	   47.00	   47.00
Trippie Redd                  	     1	   64.00	   64.00	   64.00
TV Girl                       	     2	   56.50	   50.00	   63.00
Vanessa Carlton               	     1	   48.00	   48.00	   48.00
Van Halen                     	     1	   69.00	   69.00	   69.00
Vic Damone                    	     1	   57.00	   57.00	   57.00
Waka Flocka Flame             	     3	   56.00	   50.00	   66.00
Weldon Irvine                 	     1	   46.00	   46.00	   46.00
Why Don't We                  	     1	   64.00	   64.00	   64.00
Wild Nothing                  	     1	   52.00	   52.00	   52.00
Wisin & Yandel                	     1	   63.00	   63.00	   63.00
Yellow House                  	     1	   44.00	   44.00	   44.00
Yo Gotti                      	     1	   55.00	   55.00	   55.00
Young Money                   	     1	   55.00	   55.00	   55.00
Young the Giant               	     2	   57.00	   55.00	   59.00
Zac Brown Band                	     1	   55.00	   55.00	   55.00
